id,carat,cut,color,clarity,depth,table,x,y,z,theta1,theta2,price
17044,0.28,Ideal,F,VVS2,61.6,55.0,4.22,4.26,2.61,5,5,612
30625,0.28,Ideal,I,VS1,62.5,54.0,4.18,4.23,2.63,5,6,448
17043,0.28,'Very Good',F,IF,62.2,55.0,4.23,4.26,,5,7,612
37947,0.28,'Very Good',E,VS2,63.0,59.0,4.11,4.15,2.6,5,8,487
30626,0.28,Ideal,I,VS1,62.4,54.0,4.18,4.19,2.61,5,9,448
37948,0.28,'Very Good',E,VS2,60.4,59.0,4.22,4.26,2.56,5,10,487
26689,0.28,'Very Good',H,VS2,61.6,57.0,4.22,4.25,2.61,5,11,429
17040,0.28,'Very Good',E,VVS1,60.9,60.0,4.25,4.26,2.59,5,13,612
43922,0.28,'Very Good',D,VS1,62.4,56.0,4.15,4.18,2.6,5,17,514
43923,0.28,Ideal,H,VVS2,61.6,56.0,4.22,4.26,2.61,5,20,514
32056,0.28,Ideal,D,VVS1,61.7,57.0,4.23,4.2,2.6,5,21,780
33306,0.28,Ideal,D,VVS2,61.1,55.0,4.23,4.28,2.6,5,24,827
26692,0.28,'Very Good',H,VS1,63.1,55.0,4.17,4.2,2.64,5,25,429
33276,0.28,Ideal,H,VS1,62.2,54.0,4.19,4.23,2.62,5,27,462
25352,0.28,'Very Good',F,VVS2,59.7,59.0,4.26,4.28,2.55,5,28,642
25354,0.28,'Very Good',E,VVS2,61.8,58.0,4.2,4.24,2.61,5,29,642
33274,0.28,'Very Good',I,VS1,60.9,57.0,4.22,4.25,2.58,5,30,462
25356,0.28,'Very Good',E,VVS2,60.0,56.0,4.26,4.28,2.56,5,31,642
27363,0.28,Premium,E,VVS2,60.1,59.0,4.22,4.26,2.55,5,32,646
27364,0.28,Ideal,E,VVS2,62.1,56.0,4.19,4.21,2.61,5,33,646
25370,0.28,Ideal,F,VVS2,61.4,57.0,4.2,4.24,2.59,6,5,642
27366,0.28,Ideal,E,VVS2,62.4,56.0,4.16,4.2,2.61,6,11,646
48316,0.28,'Very Good',F,VS1,62.3,52.0,4.2,4.26,2.62,6,13,536
27367,0.28,Premium,E,VVS1,61.3,60.0,4.18,4.21,2.57,6,15,646
27368,0.28,Ideal,F,IF,62.4,55.0,4.17,4.2,2.61,6,17,646
27369,0.28,Ideal,E,VVS2,60.3,57.0,4.21,4.25,2.55,6,19,646
